Date,Open,High,Low,Close,Volume
2026-04-01,254.0800018310547,256.17999267578125,253.3300018310547,255.6300048828125,40059400
2026-04-02,254.1999969482422,256.1300048828125,250.64999389648438,255.9199981689453,31289400
2026-04-06,256.510009765625,262.1600036621094,256.4599914550781,258.8599853515625,29329900
2026-04-07,256.1600036621094,256.20001220703125,245.6999969482422,253.5,62148000
2026-04-08,258.45001220703125,259.75,256.5299987792969,258.8999938964844,41032800
2026-04-09,259.0,261.1199951171875,256.07000732421875,260.489990234375,28121600
2026-04-10,259.9800109863281,262.19000244140625,259.0199890136719,260.4800109863281,31291500
2026-04-13,259.7300109863281,260.17999267578125,256.6600036621094,259.20001220703125,36234700
2026-04-14,259.25,261.92999267578125,257.19000244140625,258.8299865722656,48370700
2026-04-15,258.1600036621094,266.55999755859375,257.80999755859375,266.42999267578125,49913500
2026-04-16,266.79998779296875,267.1600036621094,261.2699890136719,263.3999938964844,43323100
2026-04-17,266.9599914550781,272.29998779296875,266.7200012207031,270.2300109863281,61314800
